,created_at,likes,retweets,source,text
30,2019-10-28 14:19:01,14583.0,1851.0,Twitter for iPhone,Grateful for the wishes @PresidentRuvi. May this festive season further the spirit of harmony and happiness. https://t.co/KkLLDT1Bc0
31,2019-10-28 14:18:18,13486.0,1910.0,Twitter for iPhone,"Very well said, PM @leehsienloong!

I am sure the wonderful people of Singapore celebrated this festival with gusto. https://t.co/FyQwPJs72B"
32,2019-10-28 14:17:31,12033.0,1489.0,Twitter for iPhone,"Greetings to you as well, @VP Pence. https://t.co/rmGvT6scaA"
33,2019-10-28 12:47:53,14429.0,2175.0,Twitter Web App,"Fruitful interactions with MPs from the European Parliament. We exchanged views on boosting India-EU ties, the need… https://t.co/gOgxjIkLip"
34,2019-10-28 11:47:51,9903.0,1592.0,Twitter Web App,"Saudi Arabia and India are working together in a wide range of sectors notably energy, security, trade and culture.… https://t.co/OP8bfHgrLZ"
35,2019-10-28 11:47:50,29011.0,3669.0,Twitter Web App,"I will be visiting the Kingdom of Saudi Arabia on the 29th, where I will be a part of various programmes including… https://t.co/sNhC3JHBX1"
36,2019-10-28 11:27:08,8628.0,2133.0,Twitter Web App,@EPSTamilNadu @CMOTamilNadu துணிச்சலும் வீரமும் மிக்க சிறுவன் சுஜித் வில்சனுக்காக  பிரார்த்திக்கிறேன்.சுஜித்தைப் ப… https://t.co/glR3kynm7f
37,2019-10-28 10:12:39,31708.0,5271.0,Twitter for iPhone,My prayers are with the young and brave Sujith Wilson. Spoke to CM @EPSTamilNadu regarding the rescue efforts under… https://t.co/npssHcwfLE
38,2019-10-28 02:27:36,32300.0,4439.0,Twitter for iPhone,"આજથી પ્રારંભ થતું નવું વર્ષ આપ સર્વે માટે આનંદદાયી અને આરોગ્યમય બની રહે તેવી પ્રાર્થના. આપ સૌની ખુશી અને 
સમૃદ્ધિની મનોકામના સાથે સાલમુબારક!"
39,2019-10-27 16:29:08,24669.0,2570.0,Twitter for iPhone,Met Shri Pranab Mukherjee and wished him on the special occasion of #Diwali. @CitiznMukherjee https://t.co/RQyTiYEOzG
40,2019-10-27 16:27:33,15953.0,1737.0,Twitter for iPhone,Wished Honourable Vice President Shri @MVenkaiahNaidu Garu on #Diwali. @VPSecretariat https://t.co/UJKTTTOoR8
41,2019-10-27 16:25:09,33465.0,2920.0,Twitter for iPhone,Called on Rashtrapati Ji and conveyed #Diwali greetings to him. @rashtrapatibhvn https://t.co/xVKWkt5pJC
42,2019-10-27 12:21:47,15478.0,2093.0,Twitter for iPhone,Anguished by the passing away of Shri Kamal Sharma Ji. He made noteworthy efforts to strengthen our Party in Punjab… https://t.co/fwYNrBrMbS
43,2019-10-27 11:22:25,136053.0,22761.0,Twitter Media Studio,#Diwali is sweeter when celebrated with our brave soldiers. https://t.co/skO2SfcwJ3
44,2019-10-27 11:21:29,18424.0,3158.0,Twitter for iPhone,"On the way back from Rajouri, also interacted with air warriors and personnel of the army at Pathankot Air Force St… https://t.co/H3BRxnAuBf"
45,2019-10-27 11:15:49,25850.0,4315.0,Twitter for iPhone,Anecdotes about the courage of our soldiers are widely shared but do you also know about the stupendous efforts of… https://t.co/CotFXkUDZG
